step,price,type,desc
414,7165.6,entry_long,sfp_long
451,7110.19,exit_loss,Swing LOSS
2669,7750.85,entry_long,sfp_long
2717,7768.0,exit_loss,Swing LOSS
5997,8537.01,entry_long,sfp_long
6470,8435.23,exit_loss,Swing LOSS
6485,8444.08,entry_long,sfp_long
6496,8395.5,exit_loss,Swing LOSS
6896,8465.0,entry_long,sfp_long
6918,8364.61,exit_loss,Swing LOSS
8676,9458.15,entry_short,sfp_short
9266,9228.71,exit_win,Swing WIN
9529,9418.77,entry_short,sfp_short
9930,9229.19,exit_win,Swing WIN
9962,9162.27,entry_long,sfp_long
11592,9929.72,exit_win,Swing WIN
11825,9798.0,entry_long,sfp_long
12486,10228.0,exit_win,Swing WIN
12512,10196.04,entry_short,sfp_short
12545,10285.85,exit_loss,Swing LOSS
12679,10203.11,entry_short,sfp_short
12686,10284.82,exit_loss,Swing LOSS
13454,9778.18,entry_long,sfp_long
13671,9656.99,exit_loss,Swing LOSS
13672,9610.0,entry_long,sfp_long
13700,9567.77,exit_loss,Swing LOSS
14375,9617.01,entry_long,sfp_long
15585,9765.56,exit_win,Swing WIN
15588,9772.22,entry_short,sfp_short
15697,9823.77,exit_loss,Swing LOSS
15773,9544.38,entry_long,sfp_long
16013,9462.24,exit_loss,Swing LOSS
16427,8652.01,entry_short,grind_short
16428,8594.07,exit_win,Scalp WIN
16918,8565.67,entry_long,sfp_long
17480,8499.49,exit_loss,Swing LOSS
17517,8527.66,entry_long,sfp_long
17942,8763.2,exit_win,Swing WIN
18550,9067.51,entry_long,grind_long
18554,9074.61,exit_win,Scalp WIN
18790,9110.32,entry_long,grind_long
18791,9114.99,exit_win,Scalp WIN
19458,8642.61,entry_long,sfp_long
19474,8572.65,exit_loss,Swing LOSS
20476,7645.52,entry_long,sfp_long
20477,7669.0,entry_short,grind_short
20480,7731.44,exit_loss,Scalp LOSS
20526,7497.5,exit_loss,Swing LOSS
21819,5042.66,entry_long,sfp_long
21835,4872.82,exit_loss,Swing LOSS
21909,5207.07,entry_long,grind_long
21910,5199.99,exit_win,Scalp WIN
22979,6192.23,entry_short,grind_short
22980,6187.84,exit_win,Scalp WIN
28268,7370.77,entry_long,grind_long
28272,7337.14,exit_win,Scalp WIN
28850,7139.64,entry_long,sfp_long
28861,6991.28,exit_loss,Swing LOSS
29857,6783.27,entry_long,sfp_long
30385,6734.0,exit_loss,Swing LOSS
30493,6748.49,entry_long,sfp_long
30506,6719.12,exit_loss,Swing LOSS
31464,7132.6,entry_short,sfp_short
31656,7166.5,exit_loss,Swing LOSS
31861,7078.77,entry_long,sfp_long
31887,7013.83,exit_loss,Swing LOSS
35830,8657.28,entry_long,sfp_long
37444,8367.28,exit_loss,Swing LOSS
37480,8584.74,entry_long,sfp_long
37497,8524.32,exit_loss,Swing LOSS
37669,8522.29,entry_long,sfp_long
37928,8545.0,exit_loss,Swing LOSS
37948,8363.79,entry_long,sfp_long
39268,9409.23,entry_short,grind_short
39269,9406.19,exit_loss,Scalp LOSS
39850,9587.86,exit_win,Swing WIN
40516,9503.0,entry_long,sfp_long
40708,9413.97,exit_loss,Swing LOSS
40713,9348.0,entry_long,sfp_long
