pnl,reason
703.0869,sfp_short
-62.279297,mixed_exit
821.19727,sfp_short
-114.62012,sfp_long
-113.47363,sfp_short
-80.131836,grind_short
1942.4316,sfp_long
-261.92383,sfp_short
-26.731445,mixed_exit
43.661133,grind_short
-128.51172,sfp_long
-127.22656,sfp_long
-74.38574,grind_short
-20.444336,grind_long
-4.182617,grind_long
472.23145,sfp_long
-36.9834,grind_long
-259.37402,sfp_short
-253.44727,sfp_short
-248.37793,sfp_long
-34.20508,grind_long
-121.36328,sfp_short
-5.713867,grind_long
-6.126953,grind_long
173.81152,grind_short
-243.53809,sfp_long
-238.66797,sfp_short
-18.47754,grind_long
-233.52441,sfp_short
-228.85449,sfp_short
23.043945,grind_short
-112.36914,sfp_long
-111.24512,sfp_long
359.96094,sfp_long
442.25293,sfp_short
-118.15527,sfp_long
19.461914,sfp_short
-117.16797,sfp_long
15.631836,grind_long
-232.30566,sfp_short
1896.0098,sfp_long
357.25684,sfp_short
-272.7246,sfp_long
-267.2705,sfp_short
-130.96191,sfp_short
-129.65234,sfp_long
-128.35645,sfp_long
451.90234,sfp_long
-131.5918,sfp_long
82.793945,sfp_short
-83.831055,grind_short
939.2002,sfp_long
-279.31445,sfp_short
-273.72852,sfp_long
-134.12695,sfp_long
-132.78613,sfp_long
-131.45801,sfp_long
-260.28613,sfp_long
-127.54004,sfp_long
-64.788086,grind_long
-125.61719,sfp_long
1386.7441,sfp_long
526.6133,sfp_long
-143.49414,sfp_long
122.57031,sfp_short
-143.28516,sfp_short
-283.70508,sfp_long
259.9004,sfp_long
171.35254,sfp_short
32.802734,sfp_long
-143.65625,sfp_short
481.3545,sfp_short
-147.0332,sfp_long
-291.125,sfp_long
18.101562,grind_short
