entry_step,exit_step,type,side,reason,entry_price,exit_price,pnl,balance
72504,72506,scalp,long,grind_long,54353.2,54339.5,-3.3876953,9996.612
72480,72755,swing,long,sfp_long,53804.8,54806.0,210.21191,10206.824
75453,75466,scalp,long,grind_long,61212.9,62472.1,170.03125,10478.924
75751,75752,scalp,short,grind_short,62790.1,62840.9,-28.145508,10450.778
75980,75981,scalp,long,grind_long,62885.0,62828.7,-13.514648,10437.264
77512,77513,scalp,long,grind_long,63316.7,63279.8,-14.855469,10422.408
77543,77544,scalp,long,grind_long,63568.0,63560.5,-5.8154297,10416.593
77491,79092,swing,long,sfp_long,62740.2,62127.3,-208.74512,10207.848
79100,79109,swing,long,sfp_long,62671.9,62309.1,-102.078125,10105.77
79321,79322,scalp,short,grind_short,61239.2,61173.9,12.306641,10118.076
79435,80613,swing,long,sfp_long,60316.0,62321.0,718.0449,10836.121
80916,80963,swing,short,sfp_short,62171.8,62753.3,-108.36133,10727.76
81368,81434,swing,long,sfp_long,61852.0,61435.1,-214.55566,10513.204
85368,85398,swing,long,sfp_long,66570.0,66389.4,-210.26367,10302.94
87697,87702,scalp,short,grind_short,72231.3,72213.2,6.876953,10309.817
88654,88657,scalp,long,grind_long,68633.8,68593.5,-8.52832,10301.289
88701,88711,swing,long,sfp_long,68876.2,68265.6,-103.012695,10198.276
88725,88878,swing,long,sfp_long,68898.3,68295.1,-101.98242,10096.294
89291,89292,scalp,long,grind_long,71058.6,71122.9,8.268555,10104.5625
91592,91609,swing,short,sfp_short,89766.2,90415.5,-101.0459,10003.517
92714,93188,swing,long,sfp_long,89420.0,91490.9,286.48828,10290.005
93277,93417,swing,short,sfp_short,92291.3,93275.0,-102.90039,10187.1045
93607,93608,scalp,long,grind_long,94820.1,94866.6,6.723633,10193.828
94940,94958,swing,long,sfp_long,96187.3,95124.0,-101.93848,10091.89
95265,95266,scalp,short,grind_short,92750.0,92650.9,6.291992,10098.182
96929,96979,swing,long,sfp_long,95747.1,95173.5,-100.981445,9997.2
97225,97900,swing,long,sfp_long,94400.2,98166.5,831.52344,10828.724
97902,100776,swing,long,sfp_long,95440.6,102592.5,394.66016,11223.384
100877,100878,scalp,long,grind_long,105068.3,105214.1,74.552734,11297.937
100980,100981,scalp,long,grind_long,105782.6,105834.9,6.807617,11304.744
101614,101616,swing,long,sfp_long,103298.4,102247.4,-226.09473,11078.649
101846,101848,swing,long,sfp_long,100809.6,99728.5,-110.78613,10967.863
101877,101880,scalp,short,grind_short,98511.8,98329.8,12.119141,10979.982
102058,102064,scalp,short,grind_short,95356.4,95325.7,1.9521484,10981.935
102591,102592,scalp,short,grind_short,96229.8,96269.7,-4.788086,10977.146
102604,102701,swing,long,sfp_long,96556.2,95812.5,-109.771484,10867.375
102705,102706,scalp,short,grind_short,95975.0,95526.9,38.41504,10905.79
102772,102773,scalp,short,grind_short,94893.9,94955.9,-6.0595703,10899.73
104064,104151,swing,long,sfp_long,95462.1,94610.8,-108.99707,10790.733
104789,104997,swing,long,sfp_long,93449.9,92876.1,-107.90723,10682.826
105005,105007,swing,long,sfp_long,93065.0,92335.4,-213.65625,10469.17
